StyleID;text;rating
654563;An sich ist der BH sehr bequem und sitzt angenehm. Leider sind die TrŠger und der Verschluss hinten sehr breit (wesentlich breiter, als auf dem Bild abgebildet) und zudem bestehen die TrŠger aus stark elastischem Material, was dazu fŸhrt, dass bei mehr Oberweite der Verschluss hinten automatisch nach oben gezogen wird. FŸr den Preis und als Alltags-BH schon tauglich, schšn anzusehen ist er aber mit der Zeit des Tragens nicht mehr.;2
1709054;Ich habe mit diesen Shirts nur gute Erfahrungen gemacht. Leider vermisse ich in letzter Zeit die grau/wei§/schwarzen Packungen. 10.03.08 YE: ok? nicht freischalten, tm ;4
9743730;Da ich kŸrzlich renoviert habe passen die VorhŠnge ganz hervorragend in das Zimmer. Ganz besonders mšchte ich die schnelle Lieferung hervorheben. Gro§artiger Service von bon prix.;5
9743730;Festes gut fallendes Material ,lŠ§t sich gut waschen und sofort wieder aufhŠngen .Kein bŸgeln notwendig .Wie in der Produktbeschreibung angegeben Verdunklung und Hitze-KŠlte isolierend wird erfŸllt .in der Farbe wei§ hŠtte mir besser gefallen gibt es aber leider nicht;4
9743730;Wir sind sehr zufrieden.;5
434886;Material ist klasse. Passform perfekt. Preis klasse. ;5
654563;Sehr angenehmes tragegefŸhl, gute passform, gute verarbeitung und Material ;5
654563;Bin sehr zufrieden mit diesen BH's. Sitzen gut und sind dadurch, dass sie aus Baumwolle sind, besonders angenehm bei hoher WŠrme. ;5
553018;Sehr bequeme Schuhe. Ich kann sie nur empfehlen.;5
9743730;super QualitŠt, sehr schšne Farbe;4
654563;Tragen sich durch die Baumwolle,nur kšnnten etwas bequemere BŸgel vertragen,den durch aktives bewegen,scheuern sie etwas auf der Haut;4
9743730;Material, QualitŠt, Preis sind echt top. Danke;5
9743730;Die Farbe ist wie abgebildet. Dunkelt gut ab. Gardine in Ordnung. ;4
655046;So alles ok;2
655046;ein super Sport BH, Artikel hŠlt was er verspricht ;5
515928;Ich mag diese Unterhosen sehr. Sie sitzen sehr gut und sind aus angenehmem Material. Ich haben sie in mehreren Farben.;5
8623725;Schicke Form, kaschiert prima. Besser mit festen Cups.;5
8623725;"Preis - Leistung sehr gut, wirkt sehr elegant, sehr schšn, auch durch die formenden EinsŠtze "" vertuscht"" es einiges Ist schon mein Zweiter davon :-)";5
515928;GefŠllt mir sehr...;4
655046;Pflegeleichtes Material, sitzt perfekt;4
8623725;Leider falscher Artikel und falsche Farbe ;1
8623725;Leider falscher Artikel und falsche Farbe ;1
515928;Artikel sitzt gut. Farbe auch okay. ;4
709229;"Dieses Kleid ist einfach nur bezaubernd. Durch das Material und den Schnitt flie§t das Kleid am Kšrper und "" klebt "" nirgends an. Leicht und luftig, so wie ein Sommerkleid sein sollte. Dazu ist es pflegeleicht. SchonwŠsche, trocknen, anziehen. Ideal fŸr die Reise. Werde mir noch eins bestellen. ";5
709229;Material ist schšn, nur der Schnitt ist etwas zu breit;3
8623725;Optisch schšn, Grš§e aber total daneben. Auch bei diesem Badeanzug muss ich leider die rote Karte zeigen, viel zu kurz und zu eng fŸr die bestellte Grš§e 40. Ein Reinfall, nicht zu empfehlen, oder mindestens 1 Grš§e mehr;1
655046;Schšnes material .Habe den BH schon in schwarz,deswegen habe ich noch mal bestellt.;5
515928;sa§  seh r  gur;5
515928;super Material wŸrde ich mir immer wieder bestellen;4
434886;Schšne Jeans, nur leider viel zu lang in der US Grš§e!;4
1709054;Sent gut :);5
9743730;Der Artikel erfŸllt voll und ganz unsere Erwartungen. Preis und QualitŠt stimmen voll und ganz.;5
515928;Tolle Passform.;5
434886;ist im Schritt einfach zu weit;3
654563;Ein tolles Teil, in dem man sich nicht nur wohl fŸhlt, sondern auch auch richtig gut aussieht!!!;5
709229;Tolles Kleid kaschiert meine Rundungen, guter Materialmix, leichtes Sommerkleid werd ich oft tragen ;5
654563;Sehr angenehme QualitŠt und gute Passform.;5
9743730;VorhŠnge sind einfach super. Gefallen mir noch besser als auf der Abbildung.;5
654563;Das Teil hat mich echt enttŠuscht;2
1709054;Diese Tops sind einfach klasse. Sehr schšn zu tragen.;4
1709054;Wunderschšne Shirts! Bin total begeistert! Material ist besser,als ich erwartet hatte. Werde mir noch andere Farben bestellen.;5
654563;Entspricht zu 100\ den Angaben;4
654563;Prima BH, kaufe sie schon lange. Bin voll und ganz zufrieden.;5
434886;top;5
654563;Sehr angenehm zu tragen. Sitzt perfekt. Top Preis-Leistungs-VerhŠltnis.;5
8623725;Toller Badeanzug! Habe zwei davon. Sitzt gut, auch in gro§en Grš§en. Habe mir die TrŠger gekŸrzt, waren bei mir zu lang. Der Busen soll ja nicht sonst wo hŠngen :-)! ;5
515928;sehr schšne Farbe und sitzt gut. Habe mir auch zusŠtzlich eine andere Farbe gekauft.;4
9743730;Super Ware-schšne schwere blickdichte QualitŠt- leider nicht bŸgelfrei-aber wirklich schšn;5
434886;Durch den Gummizug in der Taille etwas locker sonst klasse;4
8623725;Sehr schšner Badeanzug. Die Raffungen sehern echt raffiniert aus. ;5
434886;Gute Passform;5
8623725;sehr chic -bin begeistert;5
8623725;Rasche Lieferung. Am Schenkel zu weit.;4
434886;Habe diese Jeans nun auch in blau fŸr meinen Mann gekauft. Er bevorzugt diesen hšher geschnittenen Bund. Der Stretcheinsatz ist ideal fŸr's BŸro.;5
1709054;Schšne Farben. Die lange der shirts ist optimal.Die QualitŠt ist sehr gut.;5
655046;gute Beratung, top service, schnelle Lieferung. ;4
515928;Passt, obwohl ich Zwischengrš§en nicht unbedingt mag. ;4
434886;tolle jeans aber leider viel zu lang  material und form ansonsten sehr schšn;5
709229;Angenehmes und pflegeleichtes Material. Stoff knittert kaum und ist somit super fŸr den Urlaub im Sommer. Gut kombinierbar mit Capri-Leggings / Shirtjacke / Bolero wenn es kŸhler wird.;5
1709054;Gute QualitŠt ;5
515928;Die Farbe ist etwas gewoehnungsbeduerftig aber mal etwas anderes. Sitzt sehr gut und entspricht der angegebenen Groesse.;5
1709054;Sehr schšne QualitŠt, passt gut und tolle Farben.;5
8623725;Sieht sehr schšn aus ;5
1709054;Super schšn locker und gute QualitŠt ;5
1709054;Super schšn locker und gute QualitŠt ;5
8623725;Tolle Farbe (grŸn), nicht zu aufdringlich, kaschiert wunderbar einige Pfunde. Schšne breite TrŠger. Auch die Polster sitzen gut. Ich bin sehr zufrieden! ;5
434886;Die Hose sitzt gut nur die BeinlŠnge passt nicht. Bin aber froh fŸr den Preis eine so Grosse Grš§e zu bekommen.;3
655046;Super schšn, ist aber leider in meiner Grš§e viel zu eng ausgefallen! ;4
1709054;Die weite ist perfekt, binbei der Arbeit immer in Bewegung da darf es nicht zu eng sein.;4
434886;Hose in Ordnung. FŸr diesen Preis sehr schšn. Wir haben die Hose allerdings noch nicht gewaschen. Lieferung war schnell.;5
515928;Super Artikel, habe schon mehrere Farben zu Hause. Sehr zu empfehlen.;5
434886;Preis Leistung ist sehr gut ;4
9743730;Alles perfekt, Preis, QualitŠt. Hatte diesen Vorhang schon. Da er sehr pflegeleicht ist und auch sonst sehr gut aussieht, habe ich ihn jetzt noch einmal fŸr ein anderes Zimmer bestellt. ;5
655046;Sehr guter Tragekomfort und super Material!;5
9743730;Habe schon einige verdunklungsvorhŠnge von bonprix und bin restlos zufrieden ;4
654563;Material gut ....sitzen leider alle unterschiedlich mal etwas enger aber auch genau richtig....schade das nicht alle gleich sitzen habe 3 bunte und 3 wei§e ;3
654563;super schšne bequeme BH's ;5
553018;Farbe und Material wie im Angebot beschrieben. Ein sehr schšn gearbeiteter und leichter Sommerschuh.;5
655046;Etwas  hŠrteres, festes Material. DrŸckt ein bisschen die BrŸste platter. Aber fŸr den Preis všllig ok. Damit die Boobs nicht rumbaumeln, ist der BH top! :-) ;4
654563;BH's vom Material sehr schšn und die Farben auch. Habe mir Gr. 85C bestellt und passte Ÿberhaupt nicht. Sah aus wie Pelle in Wurst. Schade.....;2
655046;Funktionell .;5
434886;Das PreisleistungsverhŠltnis ist in Ordnung.;3
9743730;Die Farbe der VorhŠnge entsprach in keinster Weise der Angabe im Katalog. Es war ein Ton der schon ins ockergelb geht. Bei einem Vorhang konnte ich durch die Verpackung schon sehen, da§ ein Faden gezogen war (oder Webfehler). Insgesamt war ich nur enttŠuscht.;1
553018;Der BH ist qualitativ und aussehensmŠ§ig nicht zu bemŠngeln, allerdings habe ich Schwierigkeiten mit der Grš§e. Bei 80D (meine normale BH Grš§e) sind die TrŠger einfach viel zu lang, sodass sie von der Schulter rutschen. DemnŠchst muss ich vielleicht einmal zu 75D greifen. ;3
1709054;FŸnf T-Shirts aus reiner Baumwolle zu einem sehr gŸnstigen Preis. Passend zu jeder Kleidung und endlich wieder lang!;5
434886;passt super;5
434886;Passt super;5
553018;Ich habe sie inzwischen in schwarz, blau, rot und nun in wei§. Trage Grš§e 41 und einen schmalen Fu§. Optimale Passform. Da der Schuh nicht so zu eng ist  passt er im Sommer oder abends, wenn der Fu§ geschwollen ist bestens.;5
1709054;Es wŠre toll, wenn es die Shirts in einzelnen Farben auch in 3er-Packs gŠbe: 3 schwarze, 3 wei§e, 3 rote, usw. Da ich 1,78 m gro§ bin, wŸrde ich es begrŸ§en, wenn die Shirts noch 5 cm lŠnger wŠren.;4
709229;Das Kleid entspricht genau meinen Erwartungen. Bei meiner Kšrpergrš§e von 156 cm ist es zwar etwas lŠnger als auf den Abblidungen, aber damit hatte ich gerechnet und somit passt es genau so, wie ich es haben wollte.;5
1709054;Passform ist ok. Allerdings verziehen sich die Shirts bereits nach einer WŠsche bei 30¡, zeigt sich an den SeitennŠhten. Auch am unteren Bund zeigten sich bereits nach der 1. WŠsche Falten, die sich nur mŸhsam herausbŸgeln lassen und sicherlich nach weiteren WŠschen vermehrt auftreten.;1
8623725;Hat mir leider nicht so gefallen. Hatte zum glŸck noch andere BadeanzŸge zur Auswahl besgellt. Hat bei mir auch nicht sonderlich was geformt :/;3
1709054;Schšnes leichtes Material,sitzt scvhšn locker un umspielt die Problemzonen. Frische Farben gutes TragegefŸhl.;5
434886;alles gut passt liebe grŸ§e, Werner. danke;5
9743730;Das Produkt erfŸllt die AnsprŸche.;5
655046;Viel zu eng. Ging zurŸck;1
1709054;Diese T-Shirts sind super Basics. Die gro§e Farbauswahl und der Preis sind top. Ob solo getragen oder unter Weste, Jacke oder Pullover, einfach gut zu kombinieren. Ich habe schon letztes Jahr 3 dieser Sets gekauft und hŠufig gewaschen. Keine Probleme: pflegeleicht 30¡, danach in den Trockner (pflegeleicht und schonen), fertig. Bitte nicht als KochwŠsche 30¡, dann kšnnten sie sich tatsŠchlich verziehen!;5
709229;Ich bin sehr zufrieden mit dem schšnen Shirt-Kleid! Ich habe es in schwarz, dazu kann man eine wei§e Leggings kombinieren und es sitzt einfach perfekt. Habe es in Grš§e 44 bestellt. Schšner leichter Stoff!;5
1709054;FŸr diesen Preis sehr schšne Longshirts. Fallen grš§er aus.  ;3
9743730;schšner leichter Stoff, sehr schšn verarbeitet;5
1709054;Die Shirts haben den Trockner gut Ÿberstanden.;5
44970574;Schnitt unvorteilhaft, Material zu dick fŸr eine Sommerhose, ging zurŸck;2
1709054;Schšne lange T-Shirts in guter Passform zu einem gŸnstigen Preis.;5
8623725;sehr festes Material sitzt sehr gut;5
1709054;schšne, intensive Farben angenehmes Material angemessener Preis;4
709229;Riecht ein bisschen nach Farbe aber nach dem Waschen ok . Mein lieblings Kleid.;4
1709054;FŸr den Preis nicht schlecht. Beim Waschen bleiben die T-Shirts in Form.;5
1709054;Die T-Shirt«s haben die erste WŠsche ohne Probleme Ÿberstanden. Sie haben sich nicht verzogen. Die Farben sind echt toll. Werden nicht meine letzten bleiben.;5
553018;in den vergangenen Jahren war die Verarbeitung eindeutig besser. ich bin mit dem Artikel  nicht zufrieden. Schade!  ;1
654563;Super Kauf, ein wunderbares TragegefŸhlauch die Farben sind sehr schšn.;5
553018;Die grauen sind soooo dŸnn!! Die Schwarzen sind stabil und laufen sich gut, aber die Grauen.. Ne ne.. Man rutscht richtig hin und her. Nicht so schšn.;3
1709054;FŸr diesen Preis sind die T-shirts ok. Bei mir verziehen sie sich kaum. Werde sie im Feinwaschgang waschen, das soll besser sein. Ich finde sie einfach nur toll !!!!;4
1709054;FŸr diesen Artikel wurde eine Rezension ohne Text abgegeben.;1
9743730;Ich habe diese VorhŠnge in grŸn bestellt, schšne Farbe und ein guter Stoff.;4
709229;Kleid passt. Ist aber nur was fŸr zuhause;3
9743730;Bin begeistert von den VorhŠngen,wie die abdunkeln.;5
8623725;sehr gute QualitŠt gutes PreisleistungsverhŠltnis;5
553018;Die Ballerinas sind super bequem, ich werde sie auch noch in weiteren Farben bestellen!;4
1709054;"haben sich nach der WŠsche total verzogen;";2
709229;Einfach Super, bin sehr zufrieden. ;5
44970574;Die Hose gefiel mir eigentlich sehr gut. War mir nur viel zu lang. Farbe ist auch sehr schšn. Habe mich trotzdem dafŸr entschieden sie zurŸck zuschicken.;5
709229;Der Artikel ist in Ordnung, sowohl Preis und QualitŠt. Allerdings bin ich wegen der Lieferzeiten verŠrgert. 1. Nach Erhalt des Kataloges habe ich umgehend bestellen wollen, leider waren 60% der von mir ausgewŠhlten Artikel schon ausverkauft. 2. Der erste Teil der Lieferung kam nach Ÿber einer Woche, der nŠchste Artikel mehr als eine weitere Woche spŠter, noch habe ich nicht alle bestellten Artikel erhalten. Aus diesem Grunde bin ich mit diesem Teil Ihres Services unzufrieden.;3
1709054;Habe die T-Shirts in 36/38 bestellt.. jedoch waren sie viel zu weit und auch sehr lang..  Meine Mutter trŠgt 48 und selbst ihr waren die Shirts noch zu gro§. Ansonsten sind die T-Shirts wirklich sehr schšn.;2
1709054;Habe wenig erwartet fŸr den Preis. Bin trotzdem enttŠuscht: Bis auf ein Shirt, das insgesamt enger war, waren alle V-Ausschnitte nicht tragbar. Viel zu gro§, wenn man nicht barbusig unterwegs sein will und die Ausschnittverblendung stand ab und hat sich gewellt, so dass es auch mit Top darunter nicht ging.;1
1709054;Habe die T-Shirts schon in jegliche Farben, mit und ohne €rmel. Beim Waschen hat sich da noch nie etwas verŠndert an Farbe oder Form. Obwohl sie sehr oft gewaschen werden, da ich sie fŸr die Arbeit brauche. Ich kanns nur empfehlen! Seit kurzem ist auch das Material viel sanfter geworden, seit meiner letzten Bestellung im Juni. Wirklich super!;5
553018;Habe leider auf die Empfehlung der anderen Kundinnen gehšrt und den Schuh in Grš§e 39 bestellt (schwanke sonst zwischen 39-40, eher 39). Viel zu klein :-( Entweder ist die Verarbeitung jetzt anders oder meine FŸ§e jenseits jeglicher Norm. Schade. Probier jetzt nochmal 40 zu bestellen und bin gespannt.;4
553018;Ich habe diese Ballerina in schwarz und Grš§e 37 gekauft, obwohl ich eigentlich 38 habe. So passen sie jetzt aber sehr gut, sind leicht, die Sohle flexibel und die Ballerina halten sicher nicht die nŠchsten 5 Jahre, aber fŸr den Preis lang genug. Nur zu empfehlen!;5
553018;Ich habe gerade diese Ballerinas in schwarz, wei§ und grau bekommen. Schwarz und wei§ sind im gro§en und ganzen okay. Grau macht einen sehr unstabilen Eindruck. Die Schuhe an sich sind sehr dŸnn und die Sohle ist sehr flach. Farben sind gut. Ich denke ich werde sie trotzdem alle behalten, da man fŸr den Preis vielleicht nicht mehr verlangen kann.;3
654563;Die BHs sind echt bequem und super schšn. Top QualitŠt! FŸr den Preis lohnt es sich.;5
553018;"Ich habe den Schuh in ""Schlange"", er passt ganz genau und macht einen hŸbschen Fu§. Das Blumenfutter ist extrem hŠ§lich, sieht man ja aber nicht.";5
553018;"Ich liebe Ballerinas, besonders, wenn sie so schšn weich sind wie diese hier! Sie sind echt toll, vor allem die Farbe! Und ich muss mich wirklich zurŸckhalten, alle Farben zu bestellen;-) Grš§e 38 passt super, bei meiner normalen Schuhgrš§e von 39. Ich kann die Ballerinas nur empfehlen! EINFACH TOLL! ";5
434886;Material,Farbe,QualitŠt,alles bestens.;5
1709054;Schšne krŠtige Farben.Super Passform.;5
8623725;Artikel sieht auf dem foto besser aus muss auch eine nummer gršsser bestellt werden da aber meine gesamte bestellung vom lager aus nicht den artikeln entsprach und das nachbestellen auch in die hose gingund bei dem badeanzug der hermes shop trotz anruf nach 5 min nicht dort abgeliefert wurde sehr traurig ;1
434886;hat alles super geklappt.;4
655046;HŠlt alles fest zusammen. Bin ganz zufrieden.;4
654563;Angenehm auf der Haut, Preis ist total ok;4
9743730;Ich habe meine ganze Wohnung mit diesen VorhŠngen bestŸckt, super- und sie haben auch dŠmmenden Eigenschaften, gegen Hitze  und KŠlte von au§en. Bin sehr zufrieden!!;5
9743730;Der Vorhang ist super! Die QualitŠt nicht ganz so schwer wie gedacht, aber trotzdem fŸr den Preis einfach unschlagbar! Er dunkelt in grŸn perfekt ab und hŠlt auch die KŠlte draussen.;5
434886;super Bund;5
655046;ok;2
434886;Die Hose sitzt angenehm und wird durch den Dehnbund optimal gehalten.;5
8623725;Leider schickte ich den Badeanzug zurŸck, da mir die Oberweite zu klein war.;3
654563;Die TrŠger sind sehr breit, habe die BHs in Grš§e 90 bestellt und finde sie fallen knapp aus. Alles in allem aber in Ordnung fŸr den Preis.;4
434886;zu weit und nicht sehr anschmiegsam;2
553018;diese schuhe sind zwar sehr bequem und schšn, man bekommt aber extreme schwei§fŸ§e!!!!!!!!!!! meine fŸ§e stanken schon am 3. tag so extrem und ich habe davon fu§pilz bekommen, da der fu§ immer feucht war. also ich werde sie kein 2. mal kaufen!!!;2
9743730;habe die vorhŠnge in grŸn bestellt, sind echt super und machen gut dunkel vor allem wenn man es gewohnt ist im dunkeln zu schlafen. mein mann hat stŠndig nachtschicht und schlŠft am Tage. mit den vorhŠngen die das zimmer gut verdunkeln kann er super schlafen, nur in orange  ist die farbe nicht krŠftig genug.;5
655046;angenehm zu tragen, Material + Verarbeitung sehr gut, Preis + Leistung passt genau;5
654563;Ich bin sehr begeistert von den BHs. Sie kneifen nicht und machen auch bei kleiner Brust einen wirklich schšn geformten Busen. Super!;5
515928;Sitzt richtig gut!!;4
553018;Ich habe die Schuhe in grau bestellt und ich bin echt zufrieden damit! Ich bekomme keine Blasen was eigentlich ziemlich oft bei Ballerinas ist. Ich bin echt zufrieden. ABER ich finde die Schleife vorne zwar gut, blo§ bei meinem linken Schuh ist die Schleife ein bisschen umgeknickt und es dauert ein bisschen, bis man es wieder richtig hat (ich habe es bis jetzt immer noch nicht geschafft..).;5
709229;zu gro§, QualitŠt war super ;5
654563;Ich habe sie schon zum zweiten mal bestellt und bin wieder total begeistert.Sie sehen zwar etwas anders aus, als auf dem Bild, sind aber wiklich super bequem und sitzen einwandfrei. Leider verwaschen sie schnell bei hei§er WŠsche, aber fŸr den Preis kann man sie wirklich Problemlos immer wieder nachbestellen. Sonst kostet ja einer schon so viel und nun bekommt man fŸr den gleichen Preis gleich drei und dann auch noch in drei Farben, also fŸr jede Garderobe den pasenden BH! Super!;5
655046;Angenehm zu tragen, sitzt fest, gut geeignet fŸr Sport;4
654563;Sitzt perfekt!;5
9743730;Wir haben diese VorhŠnge in grŸn und sie sehen wirklich toll aus ....die Farbe ist sehr schšn und die VorhŠnge dunkeln sehr gut ab ....absolut zu empfehlen !!!;5
709229;Wunderbare QualitŠt des Materials, die Farben sind einfach klasse. Kurzum, einfach wunderbar und ich habe es noch nicht eine Sekunde bereut, es gekauft zu haben, ganz im Gegenteil...;5
1709054;FŸr diesen Artikel wurde eine Rezension ohne Text abgegeben.;1
515928;Material angenehm zu tragen, passt genau, Artikel in x-Farben erhŠltlich, super;5
8623725;Super Pa§form;5
655046;Stabilisierend fŸr leichte Bewegung;4
515928;Immer sehr schšne Artikel und immer schnelle Lieferung. Sehr zufrieden. Kann man nur weiterempfehlen.  ;4
553018;Aussehen tut er gut.;3
709229;Ich war sehr angenehm Ÿberrascht. Ein tolles Kleid fŸr Haus und Garten.....;5
44970574;sehr schšne Hose ,aber leider mal wieder viel zu kurz.warum wird mal nicht an die grossen Frauen gedacht die Ÿber 1,75 m sind.Habe die Hose aber trotzdem gekauft weil ich sie in den halbstiefel  tragen kann;4
1709054;Ich bin sehr zufrieden mit den T-Shirts. Auch die Tops sind super. Nicht ein bi§chen hat sich Farbe oder Form verŠndert. Ich habe die ersten Shirts schon im letzten Jahr gekauft und sie sind noch wie neu. Ich wasche sie bei 40¡ in der Maschine und wŸrde sie immer wieder kaufen. ;5
1709054;leider haben sich die Shirts beim Waschen všllig verzogen. Sie leiern auch sehr aus, auch am Kragen, das sollte aber eigentlich ein festes BŸndchen sein. Ich habe sie vor dem Waschen gern getragen und dann nicht mehr. Jetzt liegen sie gewaschen und gebŸgelt im Schrank herum. Ausserdem sind die €rmel sehr lang und sehr weit, das sieht irgendwie seltsam aus. Ich habe das Set tŸrkis, pink, gelb, schwarz, weiss gekauft und das wei§e ist wirklich ganz hinŸber, nach nur 1 WŠsche. Schade, auch fŸr den Preis.;2
553018;HŸbscher Schuh, Preis/LeistungsverhŠltnis stimmt.;4
553018;Bin nicht ganz einig, trage immer 39 aber diese Grš§e 39 finde ich zu kurz, drŸckt stark seitlich auf den grossen Zeh - NagelbettentzŸndung vorprogrammiert. Also ich wŸrde nicht eine Nummer kleiner bestellen, ich tausche nun gegen die Grš§eren. Lieber eine Sohle einlegen als Druckstellen.;4
553018;Ich habe den Schuh in 39 bestellt und er passt super :-) Das ist echt ein toller Schuh fŸr den Preis  Ich kann ihn nur empfehlen ;5
1709054;Ich habe mich Gefreut, endlich mal wieder Longshirt, vor allem fŸr Grš§en ab der 44. Ich habe dieses 5-er Pack mitlerweile mehr als 1 mal gewaschen und muss sagen, dass die Shirt auch nach dem Waschen noch všllig in Ordnung sind. Bisher hat sich weder etwas verzogen, noch ist irgendwie was breiter geworden. FŸr diesen Preis ein wirklich guter Artikel! Ich habe diesen Kauf bisher absolut nicht bereut!;5
9743730;Gute Qualitaet. Artikel entspricht voll Beschreibung u meinen Erwartungen.;5
655046;Top!! Sitzt wie angegossen!!!;5
709229;Super Klei d,frohe Farbe ;5
553018;kšnnen wir nicht beurteilen, da uns leider falsche grš§e geschickt wurde ;1
709229;Super tolles Stretchkleid! Habe es in schwarz mit Punkten und Blumenmuster. Toll zur Leggings kombinierbar! Ganz leichter Stoff. Mein absolutes LieblingsstŸck!;5
44970574;eine tolle Hose  die angenehm zu tragen ist! schšnes weichen Material. ;5
434886;Hose hat einen guten Schnitt, sitzt nahezu perfekt, und ist durch den Dehnbund bequem und sehr gut geeignet, wenn man dazu neigt, mal ein paar Kilo ab und wieder zuzunehmen. ;5
553018;Habe mir 3 Paar bestellt und hatte jetzt erstmalig Gelegenheit sie zu tragen. Ich muss sagen: FŸr den Preis tolle Sommerschuhe! HŠtte ich nicht gedacht. Werde mir gleich noch ein paar bestellen in anderen Farben. Die roten Ballerinas sind DER Hingucker auf der Stra§e, weil sie wirklich quietschrot sind. :);5
515928;Beide sind gut verarbeitet und sind angenehm zu tragen.;5
44970574;Hose insgesamt recht eng, Beine jedoch weit, nicht wie beschrieben 'schmal'.;2
709229;Tolles Teil (habe es in Schwarz)...an warmen Tagen als Kleid, oder mit Leggings/Strumpfhose...oder mit T-Shirt/Langarmshirt drunter und Jeans...einfach schšššn :-);5
1709054;Eigentlich hatte ich bei Ihnen 5 Long-Shirts in, wie abgebildet gestreift in unterschiedlichen Farben bestellt, erhalten habe ich jedoch 5 unterschiedliche UNI-FARBENE SHIRTS. Da ich nach wie vor an den gestreiften Shirts interessiert bin, wŠre es nett, wenn Sie mir hierzu eine Stellungnahme zukommen lie§en Mfg. G.vGuelich g.v.guelich@t-online.de;2
515928;Ich habe mir Slip und BH in schoko bestellt. Echt super in der Farbe und Pa§form. Ich habe mir heute sofort noch ein Set in wei§ und Slips in schwarz nachbestellt. Es ist angenehm zu tragen und ich habe es bereits gewaschen. Es bleibt wie es ist. Tolles  PreisleistungsverhŠltnis trotz gro§er Grš§e.;5
